well,pct_grn_gvn_red,pct_grn_gvn_nir
A01,0,0.003616
A02,8.184471,3.922902
A03,1.069152,12.702144
A04,0.114527,0.901854
A05,0.223964,2.546439
A06,0.21408,4.90996
A07,0,0
A08,0,0.01881
A09,0.006184,0.05802
A10,0.037451,0.017987
A11,0,0.005542
A12,0.030807,0
B01,0,0
B02,9.054927,6.743128
B03,1.304986,16.371384
B04,0.066379,0.917024
B05,0.089767,1.946108
B06,0.399971,4.399698
B07,0,0
B08,0.03665,0.867974
B09,0.227855,4.257084
B10,0.012069,0.019506
B11,0.005654,0.017757
B12,0,0.02059
C01,0,0
C02,8.263207,3.156945
C03,0.344195,5.065793
C04,0.042603,0.46911
C05,0.05581,1.3187
C06,0.088192,2.202083
C07,0,0.003458
C08,0.010185,0.056342
C09,0.086589,2.240185
C10,0.024364,0.655423
C11,0,0.008982
C12,0.011519,0.757576
D01,0,0
D02,10.089457,8.616944
D03,0.269548,7.232704
D04,0.008789,0.284029
D05,0.009452,0.163704
D06,0.043476,2.486121
D07,0,0
D08,0.003397,0
D09,0.034953,2.52958
D10,0.003786,0
D11,0.006475,0.032373
D12,0.007003,0.034746
E01,0,0
E02,8.599005,9.068374
E03,0.052713,0.167886
E04,0,0
E05,0,0
E06,0.012573,0.019508
E07,0.032134,0.03028
E08,0.012499,0.0461
E09,0.172423,0.200315
E10,0.311124,0.381798
E11,0.122888,0.090513
E12,0.231234,0.28
F01,0,0
F02,11.265168,7.296137
F03,0.031709,0.982747
F04,0,0.042918
F05,0.002326,0.079145
F06,0.006839,0.147679
F07,0.036797,0.057176
F08,0.014879,0.083893
F09,0.16929,0.161507
F10,0.119683,0.121007
F11,0.050629,0.144886
F12,0.134175,0.386313
G01,0,0
G02,9.241742,7.727853
G03,1.13008,13.009161
G04,0.008093,0.02407
G05,0,0.004941
G06,0.23625,3.267635
G07,0.024489,0.037628
G08,0.018507,0.022124
G09,0.691541,8.171758
G10,0.204267,0.180102
G11,0.107609,0.081355
G12,0.146918,0.232238
H01,0,0
H02,9.100762,3.769376
H03,1.342254,16.483415
H04,0.004336,0.03109
H05,0,0
H06,0.354855,4.162868
H07,0.017801,0.036846
H08,0.032115,0.005097
H09,0.54659,4.615075
H10,0.117144,0.235503
H11,0.074929,0.081075
H12,0.123069,0.120331
